"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 07 19:52:59 GMT 2023","Sun May 07 19:52:59 GMT 2023","0","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
"broken","Sun May 07 19:52:59 GMT 2023","Sun May 07 19:52:59 GMT 2023","0","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"broken","Sun May 07 19:53:55 GMT 2023","Sun May 07 19:54:28 GMT 2023","32504","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"passed","Sun May 07 19:53:16 GMT 2023","Sun May 07 19:53:18 GMT 2023","1528","tests","test_login","TestLogin","","","User is not allowed to enter alpha characters","User is not allowed to enter alpha characters"
"passed","Sun May 07 19:55:13 GMT 2023","Sun May 07 19:55:16 GMT 2023","3006","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sun May 07 19:53:00 GMT 2023","Sun May 07 19:53:00 GMT 2023","0","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"broken","Sun May 07 19:52:59 GMT 2023","Sun May 07 19:52:59 GMT 2023","0","tests","test_login","TestLogin","","","User is able to login,this should fail","User is able to login"
"broken","Sun May 07 19:53:00 GMT 2023","Sun May 07 19:53:00 GMT 2023","0","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 19:55:08 GMT 2023","Sun May 07 19:55:10 GMT 2023","2123","tests","test_login","TestLogin","","","User is able to change country code","User is able to change country code"
"passed","Sun May 07 19:53:11 GMT 2023","Sun May 07 19:53:13 GMT 2023","1922","tests","test_login","TestLogin","","","User is not allowed to enter invalid phone number","User is not allowed to enter invalid phone number"
